parcel_number,address,description,url
35-09-24-4075-1670-0080,None,"INTERLACHEN LAKES ESTATES, FREDERICK TOWN UNIT 16 MB5 P4, BLK 167 LOT 8",https://apps.putnam-fl.com/pa/property/?type=api&parcel=35-09-24-4075-1670-0080
35-09-24-4076-0120-0130,None,"INTERLACHEN LAKES ESTATES, FREDERICK TOWN UNIT 17 MB5 P27, BLK 12 LOT 13",https://apps.putnam-fl.com/pa/property/?type=api&parcel=35-09-24-4076-0120-0130
35-12-27-0000-0040-0000,None,"NW 1/4 OF SW 1/4 (EX OR 233 P, 668, OR 234 PP 349, 351, OR, 235 P 374, OR 241 P 599, OR, 247 PP 434, 435, 436, 439,, 441, 444, OR 248 PP 390, 393,, OR 253 P 661, OR 279 P 626), OR357 P1776)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=35-12-27-0000-0040-0000
37-13-27-7063-1200-0140,127 GARRISON AV GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 120 LOT 14, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1200-0140
37-13-27-7063-1190-0340,126 GARRISON AV GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 119 LOT 34, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1190-0340
37-13-27-7063-1200-0250,108 MANDARIN AV GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 120 LOT 25, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1200-0250
37-13-27-7063-1200-0240,106 MANDARIN AV GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 120 LOT 24, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1200-0240
37-13-27-7063-1190-0040,307 SIESTA DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 119 LOT 4, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1190-0040
37-13-27-7063-1200-0280,114 MANDARIN AV GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 120 LOT 28, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1200-0280
39-11-26-8231-0480-0480,None,"ST JOHNS RIVERSIDE ESTATES, HIGHLANDS SEC UNIT 2 MB5 P43, BLK 48 LOT 48 (MAP SHEET 39E)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=39-11-26-8231-0480-0480
39-11-26-8231-0480-0390,126 NEWGATE PL SATSUMA 32189,"ST JOHNS RIVERSIDE ESTATES, HIGHLANDS SEC UNIT 2 MB5 P43, BLK 48 LOT 39 (MAP SHEET 39E)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=39-11-26-8231-0480-0390
43-10-27-8251-0020-0010,164 ISLANDER RD SATSUMA 32189,"ST JOHNS RIVERSIDE ESTATES, MARINA SECTION MB5 P6 BLK 2, LOT 1 (MAP SHEET 31/43A)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=43-10-27-8251-0020-0010
43-10-27-8255-0040-0090,219 BREEZEWAY AV SATSUMA 32189,"ST JOHNS RIVERSIDE ESTATES, RIVER RIDGE SECTION MB4 P130, BLK 4 LOT 9, (MAP SHEET 32/43B/44/45A)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=43-10-27-8255-0040-0090
48-09-27-0000-0300-0020,None,"PT OF HUERTAS GRT OR 287 P 833, (MAP SHEET 48/49N)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=48-09-27-0000-0300-0020
03-10-24-2570-0050-0380,None,"FLAMINGO LAKE ESTATES MB4 P36A, BLK 5 LOT 38",https://apps.putnam-fl.com/pa/property/?type=api&parcel=03-10-24-2570-0050-0380
09-09-23-0000-0041-0011,None,"PT OF GOVT LOT 1 OR312 P971, (EX OR329 P762 OR396 PP682 727, 762 OR559 P1763 OR658 P1693)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=09-09-23-0000-0041-0011
10-10-24-4060-0140-0200,None,"INTERLACHEN LAKES ESTATES, UNIT 1 MB4 P99 BLK N LOTS 20, 21",https://apps.putnam-fl.com/pa/property/?type=api&parcel=10-10-24-4060-0140-0200
14-08-24-5102-0060-0100,207 DADE AV FLORAHOME 32140,"LAKESIDE HILLS SEC 2 REPLAT 1, MB4 P126 BLK 6 LOT 10",https://apps.putnam-fl.com/pa/property/?type=api&parcel=14-08-24-5102-0060-0100
19-08-25-5106-6050-0030,106 OLEANDER DR FLORAHOME 32140,"LAKESIDE HILLS SEC 6 MB4 P143, BLK 605 LOT 3",https://apps.putnam-fl.com/pa/property/?type=api&parcel=19-08-25-5106-6050-0030
19-08-25-5106-6020-0090,207 QUARTZ DR FLORAHOME 32140,"LAKESIDE HILLS SEC 6 MB4 P143, BLK 602 LOT 9",https://apps.putnam-fl.com/pa/property/?type=api&parcel=19-08-25-5106-6020-0090
37-13-27-7063-1170-0140,227 CHIPOLA DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 117 LOT 14, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1170-0140
37-13-27-7063-1170-0220,302 TROPICAL DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 117 LOT 22, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1170-0220
37-13-27-7063-1170-0340,326 TROPICAL DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 117 LOT 34, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1170-0340
06-10-24-4214-0280-0070,None,"INTERLACHEN VILLAS ADDITION 3, MB4 P144 BLK 28 LOT 7",https://apps.putnam-fl.com/pa/property/?type=api&parcel=06-10-24-4214-0280-0070
14-10-23-9314-0010-0370,335 BADEN POWELL RD HAWTHORNE 32640,"WEST LAKE SHORES MB4 P88, BLK 1 LOT 37",https://apps.putnam-fl.com/pa/property/?type=api&parcel=14-10-23-9314-0010-0370
37-13-27-7063-1090-0100,212 SIESTA DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 109 LOT 10, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1090-0100
37-13-27-7063-1170-0370,332 TROPICAL DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 117 LOT 37, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1170-0370
37-13-27-7063-1180-0100,319 TROPICAL DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 118 LOT 10, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1180-0100
37-13-27-7063-1180-0210,None,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 118 LOT 21, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1180-0210
37-13-27-7063-1180-0310,320 SIESTA DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 118 LOT 31, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1180-0310
37-13-27-7063-1180-0350,328 SIESTA DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 118 LOT 35, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1180-0350
37-13-27-7063-1190-0030,305 SIESTA DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 119 LOT 3, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1190-0030
05-10-24-4927-0010-0210,None,"LAKE LUCY GARDENS MB4 P76, BLK 1 LOT 21",https://apps.putnam-fl.com/pa/property/?type=api&parcel=05-10-24-4927-0010-0210
05-10-24-4927-0010-0220,None,"LAKE LUCY GARDENS MB4 P76, BLK 1 LOT 22",https://apps.putnam-fl.com/pa/property/?type=api&parcel=05-10-24-4927-0010-0220
05-10-24-4927-0010-0230,None,"LAKE LUCY GARDENS MB4 P76, BLK 1 LOT 23",https://apps.putnam-fl.com/pa/property/?type=api&parcel=05-10-24-4927-0010-0230
05-10-24-4927-0010-0240,None,"LAKE LUCY GARDENS MB4 P76, BLK 1 LOT 24",https://apps.putnam-fl.com/pa/property/?type=api&parcel=05-10-24-4927-0010-0240
08-13-27-7063-1370-0030,104 VIOLET CT GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 137 LOT 3",https://apps.putnam-fl.com/pa/property/?type=api&parcel=08-13-27-7063-1370-0030
14-08-24-5102-0071-0110,None,"LAKESIDE HILLS SEC 2 REPLAT 4, MB4 P140 BLK 7A LOT 11",https://apps.putnam-fl.com/pa/property/?type=api&parcel=14-08-24-5102-0071-0110
37-13-27-7063-1170-0130,225 CHIPOLA DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 117 LOT 13, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1170-0130
37-13-27-7063-1170-0160,231 CHIPOLA DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 117 LOT 16, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1170-0160
37-13-27-7063-1170-0230,304 TROPICAL DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 117 LOT 23, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1170-0230
37-13-27-7063-1170-0350,328 TROPICAL DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 117 LOT 35, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1170-0350
37-13-27-7063-1170-0400,None,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 117 LOT 40, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1170-0400
37-13-27-7063-1180-0120,323 TROPICAL DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 118 LOT 12, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1180-0120
37-13-27-7063-1180-0230,304 SIESTA DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 118 LOT 23, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1180-0230
37-13-27-7063-1180-0330,324 SIESTA DR GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 118 LOT 33, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1180-0330
37-13-27-7063-1190-0010,None,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 119 LOT 1, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1190-0010
37-13-27-7063-1190-0330,124 GARRISON AV GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 4, MB5 P48 BLK 119 LOT 33, (MAP SHEET 8/37)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=37-13-27-7063-1190-0330
